object,n_safety,push_idx,phase,m_est_kg,zc_est_m,theta_star_est_deg,weight,m_gt_kg,zc_gt_m,theta_star_gt_deg,m_err_pct,zc_err_pct,theta_star_err_pct
box,0.1,1,push,0.632,0.144,17.42,26827.7718,0.664,0.14624,17.15750029588795,4.819277108433739,1.531728665207891,1.529941422614833
box,0.1,1,retract,0.679,0.141,17.71,31517.9885,0.664,0.14624,17.15750029588795,2.259036144578315,3.5831509846827285,3.2201643280429737
box,0.5,1,push,0.638,0.146,17.19,36424.3138,0.664,0.14624,17.15750029588795,3.915662650602413,0.16411378555799916,0.18941980796492172
box,0.5,1,retract,0.689,0.148,16.99,31805.0383,0.664,0.14624,17.15750029588795,3.765060240963842,1.2035010940918927,0.976251161295885
box,0.65,1,push,0.638,0.15,16.79,48586.6643,0.664,0.14624,17.15750029588795,3.915662650602413,2.5711159737417844,2.141922130556671
box,0.65,1,retract,0.693,0.158,15.97,55421.3033,0.664,0.14624,17.15750029588795,4.367469879518059,8.041575492341352,6.921173104525902
heart,0.1,1,push,0.202,0.101,23.28,10422.2362,0.236,0.098,23.954894093987317,14.406779661016941,3.061224489795921,2.8173536954050418
heart,0.1,1,retract,0.228,0.099,23.75,16943.1058,0.236,0.098,23.954894093987317,3.3898305084745677,1.020408163265307,0.8553329152005953
heart,0.5,1,push,0.203,0.094,24.75,12745.3358,0.236,0.098,23.954894093987317,13.983050847457616,4.081632653061228,3.319179383106748
heart,0.5,1,retract,0.241,0.121,19.74,16169.3849,0.236,0.098,23.954894093987317,2.118644067796612,23.469387755102034,17.59512723141305
heart,0.65,1,push,0.211,0.11,21.55,2619076.9199,0.236,0.098,23.954894093987317,10.59322033898305,12.244897959183671,10.039259971476747
heart,0.65,1,retract,0.242,0.133,18.14,240008.1989,0.236,0.098,23.954894093987317,2.5423728813559348,35.714285714285715,24.274346908704786
flashlight,0.1,1,push,0.357,0.085,15.16,200135.9927,0.387,0.09656,13.397845602259254,7.751937984496131,11.971830985915494,13.152520562287991
flashlight,0.1,1,retract,1.178,0.095,13.61,68001.2927,0.387,0.09656,13.397845602259254,204.3927648578811,1.6155758077879099,1.5834963623179086
flashlight,0.5,1,push,0.358,0.084,15.33,177489.202,0.387,0.09656,13.397845602259254,7.493540051679593,13.007456503728253,14.421381280994387
flashlight,0.5,1,retract,0.427,0.093,13.86,49433.3248,0.387,0.09656,13.397845602259254,10.335917312661493,3.6868268434134293,3.4494680074743727
flashlight,0.65,1,push,0.384,0.08,16.0,136022.1148,0.387,0.09656,13.397845602259254,0.7751937984496131,17.14995857497929,19.42218529001371
flashlight,0.65,1,retract,0.429,0.093,13.88,13743.3153,0.387,0.09656,13.397845602259254,10.85271317829457,3.6868268434134293,3.5987457390869
monitor,0.1,1,push,4.826,0.23,15.07,579.1263,5.008,0.2516,13.858211912721083,3.6341853035143847,8.585055643879166,8.744187885931817
monitor,0.1,1,retract,5.032,0.233,14.92,239.9079,5.008,0.2516,13.858211912721083,0.47923322683706115,7.392686804451501,7.66179716377589
monitor,0.5,1,push,4.804,0.229,15.18,271.7885,5.008,0.2516,13.858211912721083,4.07348242811501,8.982511923688387,9.53794108217949
monitor,0.5,1,retract,4.996,0.232,14.95,195.8439,5.008,0.2516,13.858211912721083,0.2396166134185217,7.790143084260722,7.87827530820707
monitor,0.65,1,push,4.747,0.222,15.63,258.1605,5.008,0.2516,13.858211912721083,5.211661341853038,11.764705882352937,12.78511324864727
monitor,0.65,1,retract,4.947,0.226,15.34,196.3145,5.008,0.2516,13.858211912721083,1.2180511182108615,10.17488076311605,10.692491185812475
